eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
146.8,181.60460114996386,1040000,,,,,,,,,,,,,,,,
,,1040880,153.32,27,32604,435,217.35263355000004,,,,,,,,,,,
133.0,174.4686411276263,1041000,,,,,,5.1005449295043945,5080,13.355081558227539,0.2,0.1919539,0.0003,0.8627278357744217,-5.848232595622539,0.530615234375,55.13391878306866,0.08101371589291376
154.0,184.9759432017592,1042000,,,,,,,,,,,,,,,,
,,1042928,151.64,27,32671,436,207.66210421000002,,,,,,,,,,,
152.8,180.62691050574213,1043000,,,,,,5.088581085205078,5090,10.311935424804688,0.2,0.26457983,0.0003,0.8692577928304672,-5.8628925293684,0.554052734375,49.18149395287037,0.06064074332534801
165.2,191.81077242693135,1044000,,,,,,,,,,,,,,,,
,,1044976,151.23,27,32740,437,200.19413262000006,,,,,,,,,,,
153.2,182.57134847977358,1045000,,,,,,5.218851089477539,5100,5.7401347160339355,0.2,0.33550942,0.0003,0.9009064808487892,-5.886148391664028,0.547314453125,43.805980026721954,0.07735875868529547
153.2,181.98731453789733,1046000,,,,,,,,,,,,,,,,
138.6,169.47145452976548,1047000,,,,,,,,,,,,,,,,
,,1047024,148.3,27,32822,438,189.32733109,,,,,,,,,,,
155.2,181.24687036995675,1048000,,,,,,5.28558349609375,5110,4.0420823097229,0.2,0.19709736,0.0003,0.9246126785874367,-5.919257494807243,0.488916015625,27.1751820191741,0.056763670162763444
127.6,163.33928139195558,1049000,,,,,,,,,,,,,,,,
,,1049072,147.42,27,32891,439,186.55256348,,,,,,,,,,,
162.4,173.06109653565,1050000,,,,,,5.305787563323975,5120,7.016918182373047,0.2,0.16270801,0.0003,0.9115200862288475,-5.944620740413666,0.527099609375,58.90761071145535,0.058012446149950846
162.2,180.2065890268139,1051000,,,,,,,,,,,,,,,,
